date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:53	49425/49425	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:53%20GMT	http://justyle.com.vn/vi/san-pham	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/san-pham.html	(from http://justyle.com.vn/)
10:25:53	49306/49306	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:54%20GMT	http://justyle.com.vn/vi/noi-toc	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/noi-toc.html	(from http://justyle.com.vn/)
10:25:54	37532/37532	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:54%20GMT	http://justyle.com.vn/vi/cuc-boi	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/cuc-boi.html	(from http://justyle.com.vn/)
10:25:54	37073/37073	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:55%20GMT	http://justyle.com.vn/vi/mai-phong	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/mai-phong.html	(from http://justyle.com.vn/)
10:25:54	49456/49456	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:55%20GMT	http://justyle.com.vn/vi/toc-nguyen-dau	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/toc-nguyen-dau.html	(from http://justyle.com.vn/)
10:25:55	41047/41047	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:56%20GMT	http://justyle.com.vn/vi/duoi-ngua-1	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/duoi-ngua-1.html	(from http://justyle.com.vn/)
10:25:55	37037/37037	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:56%20GMT	http://justyle.com.vn/vi/u-shape-1	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/u-shape-1.html	(from http://justyle.com.vn/)
10:25:56	37824/37824	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:56%20GMT	http://justyle.com.vn/vi/phim-phong-tang-hinh-1	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/phim-phong-tang-hinh-1.html	(from http://justyle.com.vn/)
10:25:56	36418/36418	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:57%20GMT	http://justyle.com.vn/vi/video-hay	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/video-hay.html	(from http://justyle.com.vn/)
10:25:56	9061/9061	---M--	200	added ('OK')	image/png	etag:%222365-5b9db85400c1e%22	http://justyle.com.vn/uploads/source/dichvu/2.PNG	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/uploads/source/dichvu/2.png	(from http://justyle.com.vn/)
10:25:56	68018/68018	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:57%20GMT	http://justyle.com.vn/vi/tin-tuc	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/tin-tuc.html	(from http://justyle.com.vn/)
10:25:57	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%2217b8b-5b9dbaedc295c%22	http://justyle.com.vn/application/views/orange/assets/js/jquery.min.js	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/js/jquery.min.js	(from http://justyle.com.vn/)
10:25:57	31876/31876	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2003:25:58%20GMT	http://justyle.com.vn/vi/lien-he	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/vi/lien-he.html	(from http://justyle.com.vn/)
